COMID,StreamOrde,Roughness
3164609,0,
3164645,0,
3164973,0,
5289493,1,0.2
5290269,1,0.2
5289469,1,0.2
5289485,1,0.2
5290267,1,0.2
5297653,1,0.2
5298469,1,0.2
5297735,1,0.2
5299981,1,0.2
5299257,1,0.2
5297657,1,0.2
5297649,1,0.2
5297685,1,0.2
5290259,5,0.03
5290251,3,0.065
5289489,3,0.065
5290235,3,0.065
5290247,3,0.065
5289471,3,0.065
5290245,3,0.065
5289465,3,0.065
5290243,3,0.065
5289483,5,0.03
5290249,5,0.03
5290253,5,0.03
5289477,5,0.03
5289479,2,0.1
5289473,2,0.1
5289475,2,0.1
5289481,2,0.1
5289467,2,0.1
5289491,1,0.2
5289487,1,0.2
5298501,4,0.045
5298497,4,0.045
5298499,4,0.045
5297667,4,0.045
5297661,3,0.065
5298465,3,0.065
5298471,3,0.065
5297665,3,0.065
5297663,2,0.1
5297659,2,0.1
5297669,2,0.1
5297671,2,0.1
5297709,3,0.065
5297733,2,0.1
5298505,3,0.065
5298503,3,0.065
5298507,3,0.065
5299223,2,0.1
5297763,1,0.2
5297655,2,0.1
5298511,2,0.1
5297741,2,0.1
5290255,0,
5290257,0,
5290271,0,
5290263,0,
5290261,0,
5290273,0,
5290275,0,
5290265,0,
5299255,1,0.2
5299271,1,0.2
5297645,1,0.2
5297647,1,0.2
5297651,1,0.2
5297675,1,0.2
5297673,1,0.2
5297687,1,0.2
5297683,1,0.2
5297703,1,0.2
5297699,1,0.2
5297697,1,0.2
5298467,1,0.2
5299993,1,0.2
5297725,1,0.2
5297727,1,0.2
5297731,1,0.2
5297695,1,0.2
5299229,1,0.2
5297681,2,0.1
5297711,2,0.1
5298489,4,0.045
5298477,4,0.045
5297745,1,0.2
5299221,2,0.1
5297749,2,0.1
5300253,2,0.1
5298473,4,0.045
5297679,4,0.045
5297701,3,0.065
5298493,4,0.045
5298483,3,0.065
5297707,3,0.065
5297705,3,0.065
5297677,4,0.045
5298481,3,0.065
5298479,3,0.065
5298491,3,0.065
5298495,3,0.065
5298513,3,0.065
5298509,2,0.1
5297737,2,0.1
5299227,1,0.2
5299991,1,0.2
5297747,1,0.2
5298475,4,0.045
3169590,1,0.2
3168842,1,0.2
3171686,1,0.2
3168872,1,0.2
3171726,1,0.2
3168834,1,0.2
3171758,1,0.2
3169582,1,0.2
3169598,1,0.2
3171678,1,0.2
3168870,1,0.2
3169588,1,0.2
3169058,1,0.2
3168866,1,0.2
3168878,1,0.2
3168880,1,0.2
3168856,1,0.2
3168838,1,0.2
3168836,1,0.2
3169572,1,0.2
3169574,1,0.2
3169580,1,0.2
3169616,1,0.2
3171710,1,0.2
3172514,1,0.2
3171806,1,0.2
3171926,1,0.2
3172484,1,0.2
3168890,1,0.2
3171902,7,0.025
3171900,7,0.025
3172508,7,0.025
3171812,7,0.025
3171778,1,0.2
3171782,1,0.2
3171800,7,0.025
3171790,7,0.025
3172488,7,0.025
3172486,7,0.025
3171770,7,0.025
3171718,7,0.025
3171706,7,0.025
3171696,7,0.025
3169614,7,0.025
3169602,7,0.025
3170312,7,0.025
3168844,2,0.1
3169578,2,0.1
3168846,2,0.1
3168852,2,0.1
3168858,3,0.065
3169584,3,0.065
3170354,3,0.065
3168862,3,0.065
3168868,3,0.065
3168864,3,0.065
3168874,3,0.065
3168886,3,0.065
3172478,2,0.1
3171728,2,0.1
3169568,1,0.2
3172482,1,0.2
3172480,1,0.2
3171784,1,0.2
3171768,1,0.2
3169604,1,0.2
3170358,1,0.2
3169618,1,0.2
3169596,1,0.2
3169066,1,0.2
3169586,1,0.2
3168860,1,0.2
3169576,1,0.2
3169570,1,0.2
3169064,1,0.2
3171682,1,0.2
3171738,1,0.2
3172500,1,0.2
3171742,1,0.2
3171792,7,0.025
3171794,7,0.025
3171804,7,0.025
3171828,2,0.1
3172490,2,0.1
3171802,2,0.1
3171810,1,0.2
3171808,7,0.025
3172504,1,0.2
3172502,7,0.025
3172512,7,0.025
3172510,7,0.025
3169620,1,0.2
3172516,1,0.2
3170390,1,0.2
3170764,1,0.2
3170360,1,0.2
3170336,1,0.2
3170338,7,0.025
3170340,1,0.2
3170342,7,0.025
3170344,1,0.2
1433469,1,0.2
1432813,1,0.2
1432797,1,0.2
1432735,1,0.2
1432761,1,0.2
1635999,1,0.2
1636071,1,0.2
1636027,1,0.2
1635989,1,0.2
1636013,1,0.2
1636047,1,0.2
1636001,1,0.2
1636521,1,0.2
1636513,1,0.2
1654743,1,0.2
1653179,1,0.2
1654785,1,0.2
1652977,1,0.2
1652979,1,0.2
1653331,1,0.2
1653065,1,0.2
1653085,1,0.2
1653099,1,0.2
1653105,1,0.2
1654657,1,0.2
1653149,1,0.2
1653131,1,0.2
1653145,1,0.2
1653139,1,0.2
1653107,1,0.2
1653185,1,0.2
1655289,1,0.2
1655279,1,0.2
1653053,1,0.2
3170346,2,0.1
3170348,2,0.1
3170350,7,0.025
3170352,3,0.065
3170356,3,0.065
3170362,7,0.025
3170364,1,0.2
3170366,7,0.025
3170368,1,0.2
3170370,7,0.025
3170372,2,0.1
3170374,1,0.2
3170376,7,0.025
3170378,1,0.2
3170382,7,0.025
3170384,1,0.2
3170386,1,0.2
3170388,2,0.1
1433451,7,0.025
1433431,7,0.025
1433435,7,0.025
1433421,7,0.025
1433437,7,0.025
1432753,7,0.025
1433433,7,0.025
1432757,1,0.2
1432855,1,0.2
1433573,7,0.025
1432739,7,0.025
1432765,1,0.2
1636535,3,0.065
1636543,3,0.065
1636537,2,0.1
1636533,2,0.1
1636045,2,0.1
1636517,2,0.1
1636035,2,0.1
1636511,2,0.1
1636007,2,0.1
1636031,2,0.1
1636083,2,0.1
1636541,2,0.1
1636539,2,0.1
1636029,1,0.2
1636039,1,0.2
1635997,2,0.1
1635995,2,0.1
1635991,2,0.1
1636037,1,0.2
1636529,1,0.2
1636531,1,0.2
1636033,1,0.2
1656239,4,0.045
1654857,4,0.045
1654841,4,0.045
1654837,2,0.1
1654787,1,0.2
1655119,4,0.045
1654655,4,0.045
1653367,4,0.045
1654637,4,0.045
1653465,4,0.045
1653075,4,0.045
1653459,3,0.065
1653353,3,0.065
1653039,3,0.065
1653429,3,0.065
1653001,3,0.065
1652995,2,0.1
1653425,2,0.1
1652989,2,0.1
1653041,2,0.1
1653023,2,0.1
1653343,2,0.1
1653077,4,0.045
1653097,4,0.045
1655121,1,0.2
1655131,1,0.2
1654795,1,0.2
1654821,1,0.2
1655129,1,0.2
1656241,5,0.03
1656247,4,0.045
1654859,3,0.065
1656229,3,0.065
1657139,3,0.065
1657163,3,0.065
1656207,3,0.065
1654845,3,0.065
1655133,3,0.065
1653175,3,0.065
1654831,3,0.065
1654827,3,0.065
1653153,2,0.1
1653141,2,0.1
1653477,2,0.1
1653137,2,0.1
1653475,2,0.1
1653135,2,0.1
1653473,2,0.1
1653129,2,0.1
1653155,3,0.065
1653151,2,0.1
1653143,2,0.1
1653127,2,0.1
1653165,3,0.065
1653161,3,0.065
1653163,2,0.1
1656231,3,0.065
1657151,3,0.065
1656223,3,0.065
1657161,3,0.065
1656233,3,0.065
1656221,3,0.065
1657145,3,0.065
1657147,3,0.065
1657149,3,0.065
1657143,3,0.065
1653189,2,0.1
1655281,2,0.1
1653183,1,0.2
1653485,1,0.2
1652991,3,0.065
1652985,2,0.1
1652981,2,0.1
1653333,1,0.2
1653433,1,0.2
1653337,1,0.2
1653435,1,0.2
1653069,2,0.1
1653089,1,0.2
1653463,1,0.2
1654639,2,0.1
1653101,2,0.1
1655125,1,0.2
1654791,1,0.2
1655123,1,0.2
1654765,1,0.2
1655283,2,0.1
1653061,1,0.2
1657155,5,0.03
1657153,5,0.03
1656217,3,0.065
1655331,3,0.065
1655287,3,0.065
1655285,3,0.065
1655329,3,0.065
1655291,3,0.065
1657141,3,0.065
1655333,3,0.065
1655135,1,0.2
1655127,1,0.2
1653063,3,0.065
1653071,3,0.065
1653441,2,0.1
1653443,1,0.2
1433569,0,
1433563,0,
1433567,0,
1433571,0,
1433565,0,
1433491,0,
1433545,0,
1433559,0,
1433519,0,
1433557,0,
1433561,0,
1433481,0,
1433463,0,
1433507,0,
1433461,0,
1433553,0,
1433513,0,
1433551,0,
1433529,0,
1433465,0,
1433541,0,
1433515,0,
1433487,0,
1433489,0,
1433495,0,
1433497,0,
1433493,0,
1433485,0,
1433455,0,
1433483,0,
1433509,0,
1433501,0,
1433511,0,
1433505,0,
1433499,0,
1433477,0,
1433533,0,
1433475,0,
1433521,0,
1433503,0,
1433531,0,
1433535,0,
1433479,0,
1433439,0,
1433471,0,
1433537,0,
1433473,0,
1433443,0,
1433445,0,
1433441,0,
1433447,0,
1433517,0,
1433523,0,
1433555,0,
1433467,0,
1433543,0,
1433549,0,
1433527,0,
1433539,0,
1433453,0,
1433525,0,
1433449,0,
1433457,0,
1433459,0,
1433547,0,
1636551,0,
1636607,0,
1636545,0,
1636553,0,
1636557,0,
1636559,0,
1636577,0,
1636669,0,
1636561,0,
1636571,0,
1636611,0,
1636547,0,
1636595,0,
1636619,0,
1636567,0,
1636575,0,
1636579,0,
1636581,0,
1636591,0,
1636615,0,
1636573,0,
1636583,0,
1636527,0,
1636525,0,
1636563,0,
1636587,0,
1636603,0,
1636609,0,
1636623,0,
1636621,0,
1636565,0,
1636613,0,
1636625,0,
1636633,0,
1636569,0,
1636599,0,
1636601,0,
1636589,0,
1636597,0,
1636549,0,
1636555,0,
1636585,0,
1636593,0,
1636605,0,
1636617,0,
1636631,0,
1636635,0,
1636629,0,
1636627,0,
1636637,0,
1636805,0,
1636639,0,
1636641,0,
1636815,0,
1636643,0,
1636807,0,
1636809,0,
1636645,0,
1636653,0,
1636657,0,
1636663,0,
1636665,0,
1636811,0,
1636813,0,
1636651,0,
1636655,0,
1636661,0,
1636667,0,
1636647,0,
1636649,0,
1636659,0,
1648842,0,
1648840,0,
1648836,0,
1648838,0,
1648866,0,
1648834,0,
1648830,0,
1648832,0,
1648844,0,
1648846,0,
1648852,0,
1648850,0,
1648856,0,
1648848,0,
1650780,0,
1648854,0,
1650778,0,
1650782,0,
1648864,0,
1648858,0,
1650784,0,
1648860,0,
1648862,0,
1650786,0,
1650790,0,
1650792,0,
1650800,0,
1650796,0,
1650798,0,
1650794,0,
1650788,0,
1650804,0,
1650802,0,
1657159,0,
1657157,0,
1582435,1,0.2
1582473,1,0.2
1584229,1,0.2
1587447,1,0.2
1585083,1,0.2
1582461,1,0.2
1583725,1,0.2
1585019,1,0.2
1585079,1,0.2
1587443,1,0.2
1585085,1,0.2
1585169,1,0.2
1585105,1,0.2
1585111,1,0.2
1587403,1,0.2
1587405,1,0.2
1588095,1,0.2
1587409,1,0.2
1585001,1,0.2
1585031,1,0.2
1585061,1,0.2
1587347,1,0.2
1587277,1,0.2
1584649,1,0.2
1583727,1,0.2
1583775,1,0.2
1583777,1,0.2
1583883,1,0.2
1583755,1,0.2
1583733,1,0.2
1582437,1,0.2
1582441,1,0.2
1582445,1,0.2
1583795,1,0.2
